vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GK,202005,0.1759337080976978,2020,1,0.15625,0.8072033898305085,1.2647058823529407,0.588235294117647,True
MEDIUM LOW,GK,202006,0.1759337080976978,2020,2,0.15625,0.8072033898305084,0.2941176470588235,0.588235294117647,True
MEDIUM LOW,GK,202009,0.1759337080976978,2020,2,0.15625,0.8072033898305083,1.0588235294117647,0.588235294117647,True
MEDIUM LOW,GK,202013,0.1759337080976978,2020,3,0.15625,0.8072033898305084,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GK,202017,0.1759337080976978,2020,4,0.15625,0.8072033898305084,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GK,202018,0.1759337080976978,2020,4,0.15625,0.8072033898305084,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GK,202027,0.1759337080976978,2020,6,0.15625,0.8072033898305083,1.0588235294117647,0.588235294117647,True
MEDIUM LOW,GK,202030,0.1759337080976978,2020,7,0.15625,0.8072033898305084,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GK,202032,0.1759337080976978,2020,8,0.15625,0.8072033898305084,1.9999999999999998,1.176470588235294,True
MEDIUM LOW,GK,202033,0.1759337080976978,2020,8,0.15625,0.8072033898305083,1.1176470588235292,0.588235294117647,True
MEDIUM LOW,GK,202035,0.1759337080976978,2020,8,0.15625,0.8072033898305084,1.176470588235294,1.176470588235294,True
MEDIUM LOW,GK,202036,0.1759337080976978,2020,8,0.15625,0.8072033898305085,1.352941176470588,0.588235294117647,True
MEDIUM LOW,GK,202037,0.1759337080976978,2020,9,0.15625,0.8072033898305084,0.3529411764705882,0.588235294117647,True
MEDIUM LOW,GK,202039,0.1759337080976978,2020,9,0.15625,0.8072033898305085,1.4705882352941175,0.588235294117647,True
MEDIUM LOW,GK,202051,0.1759337080976978,2020,12,0.15625,0.8072033898305084,0.7941176470588235,0.588235294117647,True
MEDIUM LOW,GK,202053,0.1759337080976978,2020,12,0.15625,0.8072033898305084,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GK,202106,0.1759337080976978,2021,2,0.15625,0.7264830508474576,1.0,1.176470588235294,True
MEDIUM LOW,GK,202107,0.1759337080976978,2021,2,0.15625,0.6457627118644068,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GK,202109,0.1759337080976978,2021,3,0.15625,0.8072033898305084,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GK,202111,0.1759337080976978,2021,3,0.15625,0.8072033898305084,0.47058823529411764,0.588235294117647,True
MEDIUM LOW,GK,202115,0.1759337080976978,2021,4,0.15625,0.8072033898305084,1.323529411764706,1.176470588235294,False
MEDIUM LOW,GK,202117,0.1759337080976978,2021,4,0.15625,0.8072033898305084,1.176470588235294,0.588235294117647,False
MEDIUM LOW,GL,202101,0.17453995632911126,2021,1,0.28125,0.6991525423728814,0.5294117647058824,0.588235294117647,True
